seller_state,customer_state,route_proxy,delivered_orders,late_deliveries,late_delivery_rate,late_dispatch_rate,avg_carrier_to_delivery_days,avg_review_score,on_time_delivery_rate,late_rate_ci95_lower,late_rate_ci95_upper,late_order_share,expected_late_deliveries_at_overall_rate,excess_late_deliveries_vs_overall
MG,SE,MG → SE,36,4,0.1111111111111111,0.1111111111111111,20.947790316358024,4.285714285714286,0.8888888888888888,0.04406640300315648,0.25314808590364857,0.0006134028523232633,2.4660538893849466,1.5339461106150534
SP,TO,SP → TO,191,21,0.1099476439790576,0.09424083769633508,14.433329758095793,4.11578947368421,0.8900523560209423,0.07304510364224662,0.16223058715865443,0.0032203649746971323,13.08378591312569,7.9162140868743105
MG,PA,MG → PA,83,9,0.10843373493975904,0.13253012048192772,22.995541610887997,4.1,0.891566265060241,0.058104915192981194,0.19340466464711883,0.0013801564177273425,5.68562424497085,3.3143757550291504
SP,PB,SP → PB,333,35,0.10510510510510511,0.10510510510510511,17.1151350308642,4.066869300911854,0.8948948948948949,0.076548792740807,0.14266845883866996,0.005367274957828554,22.810998476810756,12.189001523189244
PR,PE,PR → PE,86,9,0.10465116279069768,0.11627906976744186,16.01623950258398,4.047058823529412,0.8953488372093024,0.056040897145363075,0.18707023559220054,0.0013801564177273425,5.891128735752928,3.108871264247072
SP,RN,SP → RN,330,33,0.1,0.09090909090909091,16.990777567340068,4.122324159021407,0.9,0.0720942680488333,0.13711120052122194,0.005060573531666922,22.605493986028677,10.394506013971323
RJ,SC,RJ → SC,110,11,0.1,0.07272727272727272,12.069041035353536,4.302752293577981,0.9,0.056760120140964467,0.17023502809756688,0.001686857843888974,7.535164662009559,3.464835337990441
MG,BA,MG → BA,362,36,0.09944751381215469,0.0718232044198895,15.386762072846327,4.127777777777778,0.9005524861878453,0.07270064663303229,0.1346062536433124,0.00552062567090937,24.797541887704185,11.202458112295815
RJ,PE,RJ → PE,91,9,0.0989010989010989,0.0989010989010989,13.799589947089945,4.186813186813187,0.9010989010989011,0.052908639819141776,0.1773857809150149,0.0013801564177273425,6.233636220389727,2.7663637796102734
SP,PE,SP → PE,1126,111,0.09857904085257549,0.08880994671403197,15.676092084813497,4.055655296229802,0.9014209591474245,0.08250854169980361,0.1173792010074103,0.017021929151970556,77.13268554020694,33.867314459793064
SP,SC,SP → SC,2306,222,0.09627059843885516,0.08803122289679098,12.546322706867754,4.050306211723535,0.9037294015611448,0.08489448868224056,0.10898957946906138,0.03404385830394111,157.9644519144913,64.03554808550871
RJ,MS,RJ → MS,32,3,0.09375,0.09375,14.039148220486112,4.3125,0.90625,0.032401551298366194,0.24218154728387864,0.00046005213924244745,2.192047901675508,0.8079520983244919
SC,RJ,SC → RJ,465,43,0.09247311827956989,0.08172043010752689,13.281782158502589,3.9717391304347824,0.9075268817204301,0.06937804749311172,0.12224634307737645,0.00659408066247508,31.85319607122223,11.146803928777771
RJ,RS,RJ → RS,196,17,0.08673469387755102,0.07653061224489796,12.793778226568405,4.230769230769231,0.9132653061224489,0.05485711829174525,0.13450028053832946,0.002606962122373869,13.426293397762487,3.573706602237513
RJ,PR,RJ → PR,200,17,0.085,0.065,10.191203645833333,4.130653266331659,0.915,0.05374575017747561,0.13189587071565567,0.002606962122373869,13.700299385471926,3.2997006145280743
PR,ES,PR → ES,106,9,0.08490566037735849,0.14150943396226415,14.233245763452132,4.105769230769231,0.9150943396226415,0.04531155885413671,0.1535337501502553,0.0013801564177273425,7.261158674300121,1.7388413256998794
ES,RJ,ES → RJ,59,5,0.0847457627118644,0.05084745762711865,10.09503943032015,4.101694915254237,0.9152542372881356,0.03674203301763673,0.18351795267410276,0.0007667535654040791,4.0415883187142185,0.9584116812857815
MG,RJ,MG → RJ,1124,94,0.08362989323843416,0.059608540925266906,11.177812644161065,4.168906810035843,0.9163701067615658,0.06882969858314666,0.10126642381094361,0.014414967029596687,76.99568254635223,17.004317453647772
RJ,DF,RJ → DF,96,8,0.08333333333333333,0.052083333333333336,11.684866657021606,4.125,0.9166666666666666,0.04283062415096722,0.15589903239709585,0.0012268057046465265,6.576143705026524,1.4238562949734757
ES,SP,ES → SP,100,8,0.08,0.04,9.842241782407406,4.181818181818182,0.92,0.041093461484380624,0.14998107700948735,0.0012268057046465265,6.850149692735963,1.1498503072640371
MG,MT,MG → MT,50,4,0.08,0.06,18.155712037037038,4.04,0.92,0.03154951408859298,0.18838246918342838,0.0006134028523232633,3.4250748463679814,0.5749251536320186
RJ,SP,RJ → SP,1299,103,0.07929176289453425,0.08622016936104696,9.05785350376358,4.176470588235294,0.9207082371054658,0.06580828839639075,0.09525617374517972,0.01579512344732403,88.98344450864016,14.016555491359838
SP,GO,SP → GO,1394,106,0.07604017216642754,0.07747489239598278,12.871205214809502,4.080028839221341,0.9239598278335724,0.06326123368431978,0.09114930941317238,0.016255175586566476,95.49108671673932,10.508913283260682
BA,BA,BA → BA,66,5,0.07575757575757576,0.13636363636363635,6.496007295173961,4.287878787878788,0.9242424242424242,0.032792037562960244,0.1653919502061051,0.0007667535654040791,4.5210987972057355,0.4789012027942645
MG,PE,MG → PE,109,8,0.07339449541284404,0.11009174311926606,13.471995731396534,4.3577981651376145,0.926605504587156,0.03765708283283439,0.13817774798251642,0.0012268057046465265,7.466663165082199,0.5333368349178009
DF,RJ,DF → RJ,96,7,0.07291666666666667,0.07291666666666667,11.301177059220679,3.8842105263157896,0.9270833333333334,0.03576758131036273,0.14293031665140193,0.0010734549915657108,6.576143705026524,0.42385629497347566
PE,RJ,PE → RJ,42,3,0.07142857142857142,0.07142857142857142,11.86692046957672,3.975609756097561,0.9285714285714286,0.02459040987330592,0.19009426801158313,0.00046005213924244745,2.8770628709491044,0.1229371290508956
RS,RJ,RS → RJ,240,17,0.07083333333333333,0.10833333333333334,10.399189091435185,4.128205128205129,0.9291666666666667,0.04469193703717767,0.11049684424599365,0.002606962122373869,16.44035926256631,0.5596407374336891
SP,RS,SP → RS,3540,238,0.0672316384180791,0.0788135593220339,13.019833598163842,4.1398809523809526,0.9327683615819209,0.05944252962131087,0.07595897306904194,0.036497469713234164,242.49529912285308,0.0
SP,DF,SP → DF,1365,89,0.0652014652014652,0.08937728937728938,10.133614655406323,4.083271923360353,0.9347985347985348,0.053286329510133124,0.07955700135840812,0.013648213464192609,93.5045433058459,0.0
MG,SC,MG → SC,248,16,0.06451612903225806,0.10080645161290322,13.501541591995222,4.151020408163265,0.935483870967742,0.040098667230277246,0.1022188804385222,0.002453611409293053,16.988371237985188,0.0
BA,PE,BA → PE,32,2,0.0625,0.0625,13.488697554976852,4.5,0.9375,0.017310567031640967,0.2014712314415458,0.00030670142616163164,2.192047901675508,0.0
RJ,MG,RJ → MG,547,33,0.0603290676416819,0.06946983546617916,9.497164457647775,4.2749077490774905,0.9396709323583181,0.04327703099173852,0.08351345963367465,0.005060573531666922,37.470318819265714,0.0
SP,MT,SP → MT,640,38,0.059375,0.0671875,14.58667115162037,4.203937007874016,0.940625,0.04356118843740843,0.08044676061100703,0.005827327097071002,43.84095803351016,0.0
DF,BA,DF → BA,35,2,0.05714285714285714,0.08571428571428572,14.189466931216932,3.942857142857143,0.9428571428571428,0.015813161857108654,0.1860705742016492,0.00030670142616163164,2.397552392457587,0.0
RJ,GO,RJ → GO,107,6,0.056074766355140186,0.06542056074766354,12.331309384735203,4.273584905660377,0.9439252336448598,0.02595036250362482,0.11696961517657262,0.0009201042784848949,7.329660171227481,0.0
SC,GO,SC → GO,54,3,0.05555555555555555,0.037037037037037035,14.976428540809328,4.2592592592592595,0.9444444444444444,0.0190732684546909,0.15107214318166143,0.00046005213924244745,3.69908083407742,0.0
PR,SC,PR → SC,382,21,0.0549738219895288,0.10732984293193717,10.049829570244329,4.343832020997375,0.9450261780104712,0.036234176593673444,0.08257487767645694,0.0032203649746971323,26.16757182625138,0.0
RJ,PA,RJ → PA,37,2,0.05405405405405406,0.05405405405405406,19.24191722972973,4.45945945945946,0.9459459459459459,0.014950976833157673,0.17704654350813104,0.00030670142616163164,2.5345553863123063,0.0
GO,RJ,GO → RJ,56,3,0.05357142857142857,0.125,11.345187045304232,4.363636363636363,0.9464285714285714,0.018385781382109126,0.14607309068821533,0.00046005213924244745,3.836083827932139,0.0
SP,MG,SP → MG,7326,391,0.053371553371553374,0.09473109473109473,9.116848960308431,4.169207526438676,0.9466284466284466,0.04845459127792589,0.058756657865125704,0.05996012881459899,501.84196648983664,0.0
PR,MT,PR → MT,57,3,0.05263157894736842,0.03508771929824561,15.52595211988304,4.142857142857143,0.9473684210526316,0.01806029563366167,0.14369550397163527,0.00046005213924244745,3.904585324859499,0.0
SC,PE,SC → PE,38,2,0.05263157894736842,0.13157894736842105,15.278439936647173,3.9473684210526314,0.9473684210526316,0.014554208147292413,0.17285462131770377,0.00030670142616163164,2.603056883239666,0.0
RS,PR,RS → PR,137,7,0.051094890510948905,0.145985401459854,6.574843707758854,4.341911764705882,0.948905109489051,0.02496794443140947,0.10170966150995021,0.0010734549915657108,9.384705079048269,0.0
MG,MS,MG → MS,61,3,0.04918032786885246,0.09836065573770492,12.843317015786278,4.245901639344262,0.9508196721311475,0.0168659826687624,0.134911275272159,0.00046005213924244745,4.178591312568937,0.0
SC,RS,SC → RS,286,14,0.04895104895104895,0.07692307692307693,9.78486803127428,4.367957746478873,0.951048951048951,0.029379949419962952,0.08047824322870276,0.0021469099831314216,19.591428121224855,0.0
MA,RJ,MA → RJ,41,2,0.04878048780487805,0.24390243902439024,13.318207429990968,4.375,0.9512195121951219,0.013480945365169042,0.16138978870370846,0.00030670142616163164,2.8085613740217448,0.0
BA,RJ,BA → RJ,83,4,0.04819277108433735,0.07228915662650602,10.574063755020081,4.146341463414634,0.9518072289156626,0.01889861550329229,0.1174585920045154,0.0006134028523232633,5.68562424497085,0.0
RJ,RJ,RJ → RJ,943,45,0.04772004241781548,0.09650053022269353,3.810336471357238,4.402360515021459,0.9522799575821845,0.035853374096145404,0.06325662784396306,0.006900782088636712,64.59691160250013,0.0
MG,ES,MG → ES,169,8,0.047337278106508875,0.1301775147928994,12.427016354372123,4.171779141104294,0.9526627218934911,0.024178901084667415,0.09061681376334063,0.0012268057046465265,11.576752980723777,0.0
SP,SP,SP → SP,30313,1425,0.04700953386335895,0.09190776234618811,4.809083746946775,4.264596884817912,0.9529904661366411,0.04468368380264113,0.0494501811218122,0.21852476614016256,2076.4858763590523,0.0
PR,GO,PR → GO,87,4,0.04597701149425287,0.08045977011494253,12.177749973392933,4.203488372093023,0.9540229885057472,0.018022688467086906,0.11233033507987294,0.0006134028523232633,5.959630232680288,0.0
SP,PR,SP → PR,3077,138,0.04484887877803055,0.08774780630484239,9.569859873584178,4.209693211488251,0.9551511212219694,0.038085949143783486,0.052746851752051564,0.021162398405152584,210.77910604548558,0.0
